street,lat1,lng1,lat2,lng2,distance
S Baltimore Ave,41.65117255459131,-87.54716658680805,41.65185507037785,-87.54716304053767,0.075916689244085
E 134th St,41.65185507037785,-87.54716304053767,41.651851723897174,-87.54592535497517,0.1028654497108274
S Ave O,41.64999939121051,-87.53988203517333,41.65004455254933,-87.53988156981443,0.005023437083446143
S Ave O,41.65004455254933,-87.53988156981443,41.65185563664468,-87.53988554963524,0.2014468534482898
E 134th St,41.65185563664468,-87.53988554963524,41.651852735490806,-87.53868037554709,0.10016324703630625
S Houston Ave,41.650423957953244,-87.548423849929,41.650890554731724,-87.54838858812734,0.05198216158266138
S Houston Ave,41.650890554731724,-87.54838858812734,41.65185837937221,-87.54838664143645,0.10765109493739941
E 134th St,41.65185837937221,-87.54838664143645,41.65185507037785,-87.54716304053767,0.10169485233373395
S Carondolet Ave,41.65186161661284,-87.54958367183548,41.65132613901077,-87.54958643298767,0.05956152645815754
E 134th St,41.65186161661284,-87.54958367183548,41.65185837937221,-87.54838664143645,0.09948654308333495
S Brainard Ave,41.65186346134048,-87.55026607846087,41.65132613901077,-87.54958643298767,0.08223546287529766
E 134th St,41.65186346134048,-87.55026607846087,41.65186161661284,-87.54958367183548,0.05671557977537988
S Brainard Ave,41.65229456629344,-87.5508113708102,41.65186346134048,-87.55026607846087,0.06597891705556633
S Brainard Ave,41.65324371777885,-87.55201192920694,41.65229456629344,-87.5508113708102,0.14526338209727807
S Ave K,41.65361656088488,-87.53505230836139,41.65184398495642,-87.53504501075831,0.1971642577428715
S Ave L,41.65362526667376,-87.53626625887816,41.65184691380973,-87.53626192478983,0.1978062204541267
E 133rd St,41.65362526667376,-87.53626625887816,41.65361656088488,-87.53505230836139,0.1008940211858914
S Indiana Ave,41.65362865800531,-87.61723611840931,41.651817332554025,-87.61722312010086,0.20147632403930757
S Ave M,41.65363395452084,-87.53747751962527,41.651849822315576,-87.53746995924114,0.19844972239053427
E 133rd St,41.65363395452084,-87.53747751962527,41.65362526667376,-87.53626625887816,0.10067045653009504
E 133rd St,41.653638177237376,-87.61562461463983,41.65362865800531,-87.61723611840931,0.13393351196199846
S Prairie Ave,41.653638177237376,-87.61562461463983,41.651819907282196,-87.61561784785142,0.202246645789342
S Ave N,41.653642655911746,-87.53869076262852,41.651852735490806,-87.53868037554709,0.19909442146172185
E 133rd St,41.653642655911746,-87.53869076262852,41.65363395452084,-87.53747751962527,0.10083519172470932
E 133rd St,41.65364762461201,-87.61402523771879,41.653638177237376,-87.61562461463983,0.1329256190334628
S Calumet Ave,41.65364762461201,-87.61402523771879,41.65182248229896,-87.61401160074271,0.2030134387301866
S Ave O,41.65185563664468,-87.53988554963524,41.65365125334017,-87.53988949661539,0.19972641496321963
E 133rd St,41.65365125334017,-87.53988949661539,41.653642655911746,-87.53869076262852,0.0996293034145862
E 133rd St,41.653655837384974,-87.61263483435637,41.65364762461201,-87.61402523771879,0.11555762721770407
S Green Bay Ave,41.65184230729163,-87.5411152325635,41.65235930774137,-87.54112707190434,0.057514291445990295
S Green Bay Ave,41.65235930774137,-87.54112707190434,41.65366006547039,-87.54111805880777,0.14468500434637793
E 133rd St,41.65366006547039,-87.54111805880777,41.65365125334017,-87.53988949661539,0.10210837535052635
S Mackinaw Ave,41.65366864147384,-87.54231382610425,41.65184230693264,-87.54231383828377,0.2031428864415657
E 133rd St,41.65366864147384,-87.54231382610425,41.65366006547039,-87.54111805880777,0.09938270853488773
S Brainard Ave,41.653674162251995,-87.55255638712966,41.65324371777885,-87.55201192920694,0.06587722421233566
E 133rd St,41.653674162251995,-87.55255638712966,41.65367639042253,-87.55201072438213,0.045349746974488334
S Exchange Ave,41.65367639042253,-87.55201072438213,41.65324371777885,-87.55201192920694,0.04812621016608172
S Buffalo Ave,41.65184521879323,-87.54351982626369,41.653677274769485,-87.54351764493722,0.20377936134686572
E 133rd St,41.653677274769485,-87.54351764493722,41.65366864147384,-87.54231382610425,0.10005187464283839
E 133rd St,41.65367639042253,-87.55201072438213,41.65368131252802,-87.5508053846811,0.10017514983060657
S Commercial Ave,41.65368131252802,-87.5508053846811,41.65229456629344,-87.5508113708102,0.15424835471099496
S Burley Ave,41.65184852050127,-87.5447407796828,41.65368602811563,-87.5447380430341,0.20438579205254226
E 133rd St,41.65368602811563,-87.5447380430341,41.653677274769485,-87.54351764493722,0.10142979911780918
E 133rd St,41.65368131252802,-87.5508053846811,41.6536863397053,-87.5495742624185,0.10231791695802936
S Carondolet Ave,41.6536863397053,-87.5495742624185,41.65186161661284,-87.54958367183548,0.20296515178839494
E 133rd St,41.6536863397053,-87.5495742624185,41.65369120422489,-87.54838295359464,0.09900903557052342
S Houston Ave,41.65185837937221,-87.54838664143645,41.65369120422489,-87.54838295359464,0.20386503309761722
S Brandon Ave,41.651851723897174,-87.54592535497517,41.65369450280189,-87.54591965612826,0.20497253745477184
E 133rd St,41.65369450280189,-87.54591965612826,41.65368602811563,-87.5447380430341,0.09820628403034024
E 133rd St,41.65369120422489,-87.54838295359464,41.653696224802346,-87.54715347583115,0.10218122789419559
S Baltimore Ave,41.65185507037785,-87.54716304053767,41.653696224802346,-87.54715347583115,0.20479284235379608
E 133rd St,41.653696224802346,-87.54715347583115,41.65369881081612,-87.54652033381502,0.05262008567506172
E 133rd St,41.65369881081612,-87.54652033381502,41.65369450280189,-87.54591965612826,0.04992354756237964
S Brainard Ave,41.65419978223099,-87.55322123193876,41.653674162251995,-87.55255638712966,0.08044315228009677
S Ave N,41.655016446303584,-87.53869873351132,41.653642655911746,-87.53869076262852,0.15280791205774893
S Brainard Ave,41.655157045228655,-87.55443204930584,41.65419978223099,-87.55322123193876,0.1465027021352851
S Ave M,41.655180946196865,-87.53748407443754,41.65363395452084,-87.53747751962527,0.1720724884315779
S Ave O,41.65365125334017,-87.53988949661539,41.655390815006406,-87.53989331945307,0.19349141485785293
S Ave O,41.655390815006406,-87.53989331945307,41.65549853382687,-87.53989331916716,0.011981546436467339
S Green Bay Ave,41.65366006547039,-87.54111805880777,41.655504108177105,-87.54110528287244,0.20511531085917492
E 132nd St,41.655504108177105,-87.54110528287244,41.65549853382687,-87.53989331916716,0.10072322153302622
S Mackinaw Ave,41.65550977777815,-87.5423383081582,41.65386331117661,-87.54231382487727,0.18314750857004516
S Mackinaw Ave,41.65386331117661,-87.54231382487727,41.65366864147384,-87.54231382610425,0.021653078573390015
E 132nd St,41.65550977777815,-87.5423383081582,41.655508314765825,-87.54202007517858,0.026447530034790463
E 132nd St,41.655508314765825,-87.54202007517858,41.655504108177105,-87.54110528287244,0.07602605584132885
S Buffalo Ave,41.653677274769485,-87.54351764493722,41.65551519333861,-87.54351545467833,0.2044314569708903
E 132nd St,41.65551519333861,-87.54351545467833,41.65550977777815,-87.5423383081582,0.09782963778301398
S Burley Ave,41.65368602811563,-87.5447380430341,41.655520802543386,-87.54473530994265,0.20408178001415825
E 132nd St,41.655520802543386,-87.54473530994265,41.65551519333861,-87.54351545467833,0.10137904170314317
S Brandon Ave,41.65369450280189,-87.54591965612826,41.655526223865785,-87.54591398998082,0.20374257263719348
E 132nd St,41.655526223865785,-87.54591398998082,41.655520802543386,-87.54473530994265,0.09795706689000624
S Baltimore Ave,41.653696224802346,-87.54715347583115,41.65553188116756,-87.54714394061145,0.20418128914473066
E 132nd St,41.65553188116756,-87.54714394061145,41.655526223865785,-87.54591398998082,0.10221802530252072
S Houston Ave,41.65369120422489,-87.54838295359464,41.655533863144164,-87.54837924617465,0.2049588758812178
